#separator:tab
#html:true
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-cloze=""Mass&#x20;number"" data-ordinal=""1"">[...]</span></div></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-ordinal=""1"">Mass number</span></div></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Mass Number.png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/elements-and-atoms/v/introduction-to-the-atom"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<img src=""Element Notation (1).png""><div><br><div><div><div>In element notation,&nbsp;Z is the <span class=""cloze"" data-cloze=""atomic&#x20;number"" data-ordinal=""1"">[...]</span></div></div></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <img src=""Element Notation (1).png""><div><br><div><div><div>In element notation,&nbsp;Z is the <span class=""cloze"" data-ordinal=""1"">atomic number</span></div></div></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Mass Number.png"" /></div><div><br /></div><div><a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/elements-and-atoms/v/introduction-to-the-atom"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<span class=""cloze"" data-cloze=""Atomic&#x20;weight"" data-ordinal=""1"">[...]</span> is the <b>weighted average</b> of the masses of an element's <b>isotopes</b>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <span class=""cloze"" data-ordinal=""1"">Atomic weight</span> is the <b>weighted average</b> of the masses of an element's <b>isotopes</b>
    <div>&nbsp;</div>
    <div id='extra'><div>Each mass is multiplied by the isotope's natural abundance</div><div><br /></div><img src=""Atomic Weight.jpg"" /><div><br /></div><a href=""https://www.khanacademy.org/science/chemistry/atomic-structure-and-properties/introduction-to-the-atom/v/atomic-weight-and-atomic-mass"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
The <span class=""cloze"" data-cloze=""Rutherford&#x20;Model"" data-ordinal=""1"">[... Model]</span> states that&nbsp;an atom is mostly empty space, with <i>electrons orbiting</i> a fixed, positively charged nucleus
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    The <span class=""cloze"" data-ordinal=""1"">Rutherford Model</span> states that&nbsp;an atom is mostly empty space, with <i>electrons orbiting</i> a fixed, positively charged nucleus
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Rutherford Model.jpg""></div><div><br></div><a href=""https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/history-of-atomic-structure/v/rutherfords-gold-foil-experiment"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
According to the <span class=""cloze"" data-cloze=""Bohr&#x20;Model"" data-ordinal=""1"">[... Model]</span>, electrons orbit the nucleus in <u>orbits</u> that have a set size and energy
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    According to the <span class=""cloze"" data-ordinal=""1"">Bohr Model</span>, electrons orbit the nucleus in <u>orbits</u> that have a set size and energy
    <div>&nbsp;</div>
    <div id='extra'><div><div><div><font color=""#dfd809""><img src=""Bohr Model.png"" /></font></div></div><div><font color=""#dfd809""><br /></font></div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/atoms-and-electrons/v/atomic-energy-levels"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<div>The <span class=""cloze"" data-cloze=""Heisenberg&amp;nbsp&#x3B;Uncertainty&#x20;Principle"" data-ordinal=""1"">[... Principle]</span> states that it is <u>impossible</u> to know the momentum and&nbsp;position of an electron <u>simultaneously</u></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <div>The <span class=""cloze"" data-ordinal=""1"">Heisenberg&nbsp;Uncertainty Principle</span> states that it is <u>impossible</u> to know the momentum and&nbsp;position of an electron <u>simultaneously</u></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Heisenberg.png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/physics/quantum-physics/quantum-numbers-and-orbitals/v/heisenberg-uncertainty-principle"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<span class=""cloze"" data-cloze=""Hund’s&#x20;Rule"" data-ordinal=""1"">[...]</span> states that all orbitals must <i>first have one electron</i> before any orbital can obtain a second electron
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <span class=""cloze"" data-ordinal=""1"">Hund’s Rule</span> states that all orbitals must <i>first have one electron</i> before any orbital can obtain a second electron
    <div>&nbsp;</div>
    <div id='extra'><img src=""Hunds Rule.png"" /><div><br /><div><a href=""ahttps://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/electron-configurations-for-the-first-period"">Khan Academy Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
The <span class=""cloze"" data-cloze=""Pauli&#x20;Exclusion&#x20;Principle"" data-ordinal=""1"">[... Principle]</span> states that no two electrons can share the<u> same four</u> <u>identical</u> <u>quantum numbers</u>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    The <span class=""cloze"" data-ordinal=""1"">Pauli Exclusion Principle</span> states that no two electrons can share the<u> same four</u> <u>identical</u> <u>quantum numbers</u>
    <div>&nbsp;</div>
    <div id='extra'><div>That means, for paired electrons, one must be +1/2 spin and the other -1/2 spin</div><div><div><br /></div><div><img src=""Pauli Exclusion Principle.jpg"" /></div><div><br /></div><div><a href=""ahttps://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/electron-configurations-jay-sal/v/electron-configurations-for-the-first-period"">Khan Academy Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Constants</div>
Avogadro’s Number =&nbsp;<span class=""cloze"" data-cloze=""6&#x2E;022&#x20;&#xD7;&#x20;10&lt;sup&gt;23&lt;&#x2F;sup&gt;&amp;nbsp&#x3B;&#x3D;&#x20;1&#x20;mol"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Constants</div>
    Avogadro’s Number =&nbsp;<span class=""cloze"" data-ordinal=""1"">6.022 × 10<sup>23</sup>&nbsp;= 1 mol</span>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Avogadro's Number.png"" /><div><br /><a href=""https://www.khanacademy.org/science/chemistry/atomic-structure-and-properties/introduction-to-the-atom/v/the-mole-and-avogadro-s-number"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Constants</div>
Planck’s Constant (h) =&nbsp;<span class=""cloze"" data-cloze=""6&#x2E;626&#x20;&#xD7;&#x20;10&lt;sup&gt;&#x2D;34&lt;&#x2F;sup&gt;&amp;nbsp&#x3B;J•s"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Constants</div>
    Planck’s Constant (h) =&nbsp;<span class=""cloze"" data-ordinal=""1"">6.626 × 10<sup>-34</sup>&nbsp;J•s</span>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Plank's Constant.jpg"" /><div><br /></div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/photons/v/photon-energy"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Constants</div>
Speed of Light (c) =&nbsp;<span class=""cloze"" data-cloze=""3&#x2E;0&#x20;&#xD7;&#x20;10&lt;sup&gt;8&lt;&#x2F;sup&gt;&amp;nbsp&#x3B;m&#x2F;s"" data-ordinal=""1"">[...]</span>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Constants</div>
    Speed of Light (c) =&nbsp;<span class=""cloze"" data-ordinal=""1"">3.0 × 10<sup>8</sup>&nbsp;m/s</span>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Speed of Light.png""><div><br></div><a href=""https://www.khanacademy.org/science/chemistry/electronic-structure-of-atoms/bohr-model-hydrogen/v/introduction-to-light"">Khan Academy Link</a></div>
</div>"
